Date,open,high,low,close,volume,closeTime,quoteAssetVolume,numberOfTrades,takerBuyBaseVol,takerBuyQuoteVol,ignore,MACD,MACD_Signal
2020-10-30,2.53880000,2.56630000,2.23300000,2.41340000,11811039.44000000,2020-10-30 23:59:59.999,27786664.95251300,82686,5646346.37000000,13280958.92838000,0,-0.28019421200308825,-0.2547235255987633
2020-10-31,2.41360000,2.41380000,2.24000000,2.26620000,4373032.59000000,2020-10-31 23:59:59.999,10261291.65996100,32844,1996722.56000000,4687915.88291100,0,-0.3014122158231918,-0.264061263643649
2020-11-01,2.26480000,2.45370000,2.21900000,2.37650000,5706748.83000000,2020-11-01 23:59:59.999,13235221.44956900,40916,3074146.03000000,7141893.81598100,0,-0.30580225054466137,-0.2724094610238515
2020-11-02,2.37640000,2.45410000,2.22280000,2.25400000,6033645.49000000,2020-11-02 23:59:59.999,14049958.94606800,43105,2941807.98000000,6866990.77383100,0,-0.3155288902774971,-0.28103334687458065
2020-11-03,2.25260000,2.28100000,2.05540000,2.13800000,7235337.33000000,2020-11-03 23:59:59.999,15413549.97963400,52741,3487447.40000000,7432143.98602900,0,-0.32880726738695554,-0.29058813097705566
2020-11-04,2.13600000,2.16640000,1.87580000,1.92810000,10088117.38000000,2020-11-04 23:59:59.999,20172475.98138000,57224,5060078.05000000,10120081.35362800,0,-0.3522076224740016,-0.3029120292764449
2020-11-05,1.92710000,2.43100000,1.75630000,2.19010000,30375798.47000000,2020-11-05 23:59:59.999,63748264.82254500,176533,15148194.53000000,31702510.44639300,0,-0.3456271870296761,-0.3114550608270912
2020-11-06,2.18920000,2.68770000,2.17350000,2.56570000,29787141.52000000,2020-11-06 23:59:59.999,73815299.83541700,180833,14791093.83000000,36706117.37370400,0,-0.3065704106897664,-0.3104781307996263
2020-11-07,2.56810000,3.02870000,2.42200000,2.47550000,38120411.72000000,2020-11-07 23:59:59.999,104002935.41602600,267181,18601962.92000000,50778129.80153400,0,-0.2796721339483583,-0.30431693142937266
2020-11-08,2.47550000,2.92290000,2.43170000,2.86530000,13015901.00000000,2020-11-08 23:59:59.999,35077829.48970700,94715,6631893.33000000,17897720.50210900,0,-0.2243156819834562,-0.2883166815401894
2020-11-09,2.86250000,2.87850000,2.57310000,2.68220000,11032888.10000000,2020-11-09 23:59:59.999,29752272.47291000,79332,5309442.84000000,14335368.31018500,0,-0.19299520614789545,-0.2692523864617306
2020-11-10,2.67920000,3.17660000,2.62670000,3.07590000,16785491.42000000,2020-11-10 23:59:59.999,48955488.06129800,133519,8465970.61000000,24730428.33226600,0,-0.13485072842889023,-0.24237205485516256
2020-11-11,3.07720000,3.21610000,2.87210000,2.93080000,12850038.45000000,2020-11-11 23:59:59.999,39475974.90895200,117033,6228154.10000000,19159368.45361200,0,-0.0993341065301947,-0.213764465190169
2020-11-12,2.93090000,3.13870000,2.83330000,2.95820000,9926182.69000000,2020-11-12 23:59:59.999,29675223.65157300,97910,5065729.25000000,15166135.47710200,0,-0.06818992576591532,-0.1846495573053183
2020-11-13,2.95940000,3.98590000,2.93500000,3.86140000,24145430.65000000,2020-11-13 23:59:59.999,83088686.05693300,208075,11887840.32000000,40972920.33477300,0,0.029038021280353377,-0.14191204158818396
2020-11-14,3.85780000,3.96800000,3.51130000,3.81650000,22324085.90000000,2020-11-14 23:59:59.999,83292765.47327400,196355,10986551.93000000,41016498.33449300,0,0.10130107926497622,-0.09326941741755193
2020-11-15,3.81270000,4.24970000,3.61430000,3.84580000,23584006.78000000,2020-11-15 23:59:59.999,93775301.42278800,229063,11890120.64000000,47295745.44781900,0,0.1591003289194246,-0.042795468150156626
2020-11-16,3.84710000,3.95000000,3.45000000,3.56340000,24094608.27000000,2020-11-16 23:59:59.999,89282298.08998200,198590,11896627.17000000,44188937.06649400,0,0.18004389683764543,0.0017724048474037843
2020-11-17,3.56180000,3.87320000,3.47600000,3.81040000,18165511.87000000,2020-11-17 23:59:59.999,66704719.02380100,200812,9067273.28000000,33332490.86085000,0,0.21410459652471125,0.04423884318286528
2020-11-18,3.81350000,3.84990000,3.27100000,3.46070000,15439047.58000000,2020-11-18 23:59:59.999,54146604.52756900,156155,7010271.66000000,24583389.34796100,0,0.2104540951795384,0.0774818935821999
2020-11-19,3.46220000,3.89000000,3.20930000,3.74170000,18721726.03000000,2020-11-19 23:59:59.999,66967556.92644400,184315,8835699.34000000,31671002.08732000,0,0.22761163292700104,0.10750784145116013
2020-11-20,3.74470000,4.08990000,3.67640000,3.85520000,16998990.39000000,2020-11-20 23:59:59.999,66241474.54552200,176077,8485893.77000000,33088058.98390200,0,0.24751441454763956,0.13550915607045602
2020-11-21,3.85730000,3.94000000,3.58920000,3.83660000,15599791.13000000,2020-11-21 23:59:59.999,58578610.35605400,158992,8226074.30000000,30845137.30417600,0,0.25880332419859453,0.16016798969608373
2020-11-22,3.83820000,3.94830000,3.41000000,3.67630000,11204446.17000000,2020-11-22 23:59:59.999,41365517.79417000,112119,5380121.17000000,19894970.51005500,0,0.2519111215126064,0.1785166160593883
2020-11-23,3.68100000,4.22920000,3.63120000,4.18420000,15957690.40000000,2020-11-23 23:59:59.999,62434206.89122000,159298,8252292.05000000,32323280.57428000,0,0.28415670491802736,0.1996446338311161
2020-11-24,4.18550000,4.48570000,3.92740000,4.06270000,18389409.65000000,2020-11-24 23:59:59.999,76689534.61081000,166473,8939785.00000000,37364771.99328800,0,0.2964897779004163,0.21901366264497618
2020-11-25,4.06300000,4.20000000,3.51000000,3.67730000,11368286.18000000,2020-11-25 23:59:59.999,44645172.05707100,129389,5068837.99000000,19958716.03236900,0,0.2720294814860438,0.22961682641318973
2020-11-26,3.67480000,3.76840000,3.10000000,3.43000000,17185256.24000000,2020-11-26 23:59:59.999,57372564.17735500,165090,8471456.35000000,28273832.53587800,0,0.2300377451900424,0.22970101016856026
2020-11-27,3.43240000,3.53690000,3.16130000,3.30670000,8371281.59000000,2020-11-27 23:59:59.999,28099025.91617800,78686,4060412.30000000,13641349.48171500,0,0.18468082649442819,0.22069697343373385
2020-11-28,3.30570000,3.53500000,3.25590000,3.46160000,5741069.04000000,2020-11-28 23:59:59.999,19555376.72440400,52020,2803824.11000000,9560045.58200400,0,0.15939684943667443,0.20843694863432197
2020-11-29,3.45840000,3.57200000,3.36000000,3.55140000,4758310.51000000,2020-11-29 23:59:59.999,16464245.90688000,52565,2341348.44000000,8108373.18243100,0,0.1449345101528312,0.19573646093802383
2020-11-30,3.55240000,3.81050000,3.53150000,3.78240000,8223965.77000000,2020-11-30 23:59:59.999,30271012.86843600,75339,4298983.32000000,15824033.27797800,0,0.1503792926495029,0.18666502728031964
2020-12-01,3.77650000,3.98510000,3.38520000,3.55000000,9910945.01000000,2020-12-01 23:59:59.999,36598529.46789500,105019,4846627.82000000,17906364.64175000,0,0.1343923924101489,0.17621050030628552
2020-12-02,3.54560000,4.17000000,3.22510000,3.94840000,12004964.16000000,2020-12-02 23:59:59.999,46032599.57509900,100349,6038971.82000000,23212661.81012400,0,0.15211670256552523,0.17139174075813346
2020-12-03,3.94550000,4.02330000,3.79920000,3.88290000,6927498.76000000,2020-12-03 23:59:59.999,27066784.36289500,69286,3280890.61000000,12819680.53440100,0,0.15904467545004453,0.16892232769651566
2020-12-04,3.88110000,3.92070000,3.49640000,3.51600000,4748568.18000000,2020-12-04 23:59:59.999,17653427.93388100,56812,2186416.11000000,8134845.40304200,0,0.13339172343136285,0.16181620684348513
2020-12-05,3.51610000,3.69820000,3.44420000,3.68340000,3897274.16000000,2020-12-05 23:59:59.999,13967747.44798000,49938,1665012.06000000,5981032.35350200,0,0.12512696930354839,0.15447835933549778
2020-12-06,3.67850000,3.78940000,3.50690000,3.64820000,3549575.12000000,2020-12-06 23:59:59.999,12888480.98775900,40392,1673045.27000000,6077137.58538600,0,0.11441780901191567,0.14646624927078136
2020-12-07,3.64820000,3.87940000,3.56170000,3.75740000,5871715.17000000,2020-12-07 23:59:59.999,21889353.51097700,64920,2908706.61000000,10836558.69678000,0,0.11343464571776529,0.13985992856017815
2020-12-08,3.75690000,3.76180000,3.27750000,3.29820000,7194477.26000000,2020-12-08 23:59:59.999,25313328.03136800,80923,3077218.49000000,10831118.64439200,0,0.07474031953895466,0.12683600675593346
2020-12-09,3.30070000,3.39430000,3.11600000,3.35110000,6530689.49000000,2020-12-09 23:59:59.999,21438945.53384900,59375,3269353.38000000,10731472.58333700,0,0.0477924535066796,0.1110272961060827
2020-12-10,3.35020000,3.37160000,3.18990000,3.23900000,3061345.40000000,2020-12-10 23:59:59.999,9983203.83563200,31669,1409351.20000000,4597052.49394400,0,0.017192359566786664,0.0922603087982235
2020-12-11,3.23960000,3.24630000,2.91000000,2.96230000,5099867.62000000,2020-12-11 23:59:59.999,15309560.82871400,60745,2418745.35000000,7256707.61200700,0,-0.029050931805685742,0.06799806067744166
2020-12-12,2.96170000,3.17850000,2.96030000,3.12250000,3887473.39000000,2020-12-12 23:59:59.999,12057700.41442600,41774,1811915.99000000,5617594.57678400,0,-0.05217087881482296,0.04396427277898874
2020-12-13,3.12240000,3.36760000,3.07210000,3.34400000,3299182.05000000,2020-12-13 23:59:59.999,10736208.78229600,38959,1720201.46000000,5601312.75154200,0,-0.05202074181269589,0.024767269860651815
2020-12-14,3.33960000,3.54540000,3.23680000,3.48030000,4313010.64000000,2020-12-14 23:59:59.999,14456457.22107300,42827,2084352.42000000,6993764.51993700,0,-0.04043734966786472,0.011726345954948508
2020-12-15,3.47780000,3.51770000,3.30550000,3.32920000,5014280.72000000,2020-12-15 23:59:59.999,17080578.01164200,52185,2346330.03000000,7996625.82607700,0,-0.04295477918780799,0.000790120926397209
