Date,open,high,low,close,volume,closeTime,quoteAssetVolume,numberOfTrades,takerBuyBaseVol,takerBuyQuoteVol,ignore,MACD,MACD_Signal
2017-08-17,4261.48000000,4485.39000000,4200.74000000,4285.08000000,795.15037700,2017-08-17 23:59:59.999,3454770.05073206,3427,616.24854100,2678216.40060401,0,,
2017-08-18,4285.08000000,4371.52000000,3938.77000000,4108.37000000,1199.88826400,2017-08-18 23:59:59.999,5086958.30617151,5233,972.86871000,4129123.31651808,0,,
2017-08-19,4108.37000000,4184.69000000,3850.00000000,4139.98000000,381.30976300,2017-08-19 23:59:59.999,1549483.73542151,2153,274.33604200,1118001.87008735,0,,
2017-08-20,4120.98000000,4211.08000000,4032.62000000,4086.29000000,467.08302200,2017-08-20 23:59:59.999,1930364.39032646,2321,376.79594700,1557401.33373730,0,,
2017-08-21,4069.13000000,4119.62000000,3911.79000000,4016.00000000,691.74306000,2017-08-21 23:59:59.999,2797231.71402728,3972,557.35610700,2255662.55315837,0,,
2017-08-22,4016.00000000,4104.82000000,3400.00000000,4040.00000000,966.68485800,2017-08-22 23:59:59.999,3752505.77214051,6494,423.99518100,1637188.36934226,0,,
2017-08-23,4040.00000000,4265.80000000,4013.89000000,4114.01000000,1001.13656500,2017-08-23 23:59:59.999,4148686.46581968,8629,309.41909200,1293567.09519463,0,,
2017-08-24,4147.00000000,4371.68000000,4085.01000000,4316.01000000,787.41875300,2017-08-24 23:59:59.999,3296476.41316476,6247,206.82041200,868379.06413120,0,,
2017-08-25,4316.01000000,4453.91000000,4247.48000000,4280.68000000,573.61274000,2017-08-25 23:59:59.999,2484637.34936327,6554,100.09797400,434577.13574645,0,,
2017-08-26,4280.71000000,4367.00000000,4212.41000000,4337.44000000,228.10806800,2017-08-26 23:59:59.999,977865.73333210,2260,56.19014100,241363.80050245,0,,
2017-08-27,4332.51000000,4400.00000000,4285.54000000,4310.01000000,350.69258500,2017-08-27 23:59:59.999,1521580.06202557,3670,101.65135800,442442.17937215,0,,
2017-08-28,4310.01000000,4399.82000000,4124.54000000,4386.69000000,603.84161600,2017-08-28 23:59:59.999,2591660.52579953,4349,142.78778200,612364.20611134,0,,
2017-08-29,4353.65000000,4625.85000000,4313.55000000,4587.48000000,603.54502800,2017-08-29 23:59:59.999,2682483.73582991,4159,143.44256700,641982.02068658,0,,
2017-08-30,4564.52000000,4647.51000000,4416.01000000,4555.14000000,808.46877100,2017-08-30 23:59:59.999,3683714.68666123,5551,196.06225200,894620.23750883,0,,
2017-08-31,4555.14000000,4745.42000000,4555.14000000,4724.89000000,556.95680200,2017-08-31 23:59:59.999,2579878.72401184,4161,131.94732500,614342.53390234,0,,
2017-09-01,4689.89000000,4885.55000000,4654.88000000,4834.91000000,560.66636600,2017-09-01 23:59:59.999,2665165.55924616,4000,118.66010300,566254.43089734,0,,
2017-09-02,4796.16000000,4939.19000000,4286.87000000,4472.14000000,929.14859500,2017-09-02 23:59:59.999,4257723.94481700,7475,379.19986300,1738334.08541735,0,,
2017-09-03,4508.50000000,4714.76000000,4298.33000000,4509.08000000,691.21619800,2017-09-03 23:59:59.999,3121052.75230181,6022,258.93453600,1169644.69159694,0,,
2017-09-04,4505.00000000,4527.49000000,3972.51000000,4100.11000000,1394.64461400,2017-09-04 23:59:59.999,5909947.49008974,9317,578.60085100,2460362.61291664,0,,
2017-09-05,4106.97000000,4484.99000000,3603.00000000,4366.47000000,1228.93815700,2017-09-05 23:59:59.999,5083453.18675071,10084,533.47606500,2214297.83961246,0,,
2017-09-06,4366.49000000,4662.87000000,4335.26000000,4619.77000000,807.36372600,2017-09-06 23:59:59.999,3626346.05544323,7956,422.92306300,1903231.74091540,0,,
2017-09-07,4619.77000000,4788.59000000,4438.19000000,4691.61000000,500.42997500,2017-09-07 23:59:59.999,2305795.13638315,3070,240.68394900,1111299.24357466,0,,
2017-09-08,4691.66000000,4735.39000000,4028.93000000,4282.80000000,1132.25504600,2017-09-08 23:59:59.999,4866527.22639337,4733,465.96211900,2004277.28941755,0,,
2017-09-09,4282.80000000,4426.62000000,4150.06000000,4258.81000000,658.78295200,2017-09-09 23:59:59.999,2815383.46568698,3777,287.98980500,1233627.00774409,0,,
2017-09-10,4258.81000000,4283.00000000,3801.00000000,4130.37000000,660.37327500,2017-09-10 23:59:59.999,2700371.80819211,3435,291.78688700,1193884.03650449,0,,
2017-09-11,4153.62000000,4334.43000000,4098.91000000,4208.47000000,699.98906500,2017-09-11 23:59:59.999,2956842.76250147,4228,322.19833000,1361869.71324406,0,-3.6923595048974676,
2017-09-12,4208.60000000,4394.59000000,4040.80000000,4163.72000000,879.63031900,2017-09-12 23:59:59.999,3725190.62328952,6501,451.78067000,1911015.26637066,0,-18.310134045488667,
2017-09-13,4159.72000000,4165.38000000,3760.00000000,3944.69000000,913.46254500,2017-09-13 23:59:59.999,3570365.92571669,5019,363.05341300,1425986.44091325,0,-47.02662254258394,
2017-09-14,3944.00000000,3993.00000000,3165.13000000,3189.02000000,1665.02154300,2017-09-14 23:59:59.999,5914261.40460825,9066,761.15397600,2711572.43635069,0,-129.27074746147537,
2017-09-15,3188.01000000,3856.00000000,2817.00000000,3700.00000000,1968.86649200,2017-09-15 23:59:59.999,6588767.18669446,10445,966.12224500,3236325.66838306,0,-151.47191943540565,
2017-09-16,3674.01000000,3950.00000000,3470.66000000,3714.95000000,1297.56395300,2017-09-16 23:59:59.999,4804878.24721283,8809,624.88784200,2314536.03271908,0,-165.94723172910653,
2017-09-17,3685.23000000,3748.21000000,3499.02000000,3699.99000000,682.17121000,2017-09-17 23:59:59.999,2466490.27859466,6355,273.93197600,994843.63045949,0,-176.59054213893978,
2017-09-18,3690.00000000,4123.20000000,3690.00000000,4035.01000000,1030.00645500,2017-09-18 23:59:59.999,4069033.05715863,8220,417.63872200,1651863.37125876,0,-156.19164810517395,
